security_id,theme_id,confidence,rationale,source,inherited
2330,SEMI_FOUNDRY,0.75,primary mapping to SEMI_FOUNDRY (晶圓代工),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
2330,SEMI,0.75,inherited from SEMI_FOUNDRY,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
2303,SEMI_FOUNDRY,0.75,primary mapping to SEMI_FOUNDRY (晶圓代工),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
2303,SEMI,0.75,inherited from SEMI_FOUNDRY,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
5347,SEMI_FOUNDRY,0.75,primary mapping to SEMI_FOUNDRY (晶圓代工),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
5347,SEMI,0.75,inherited from SEMI_FOUNDRY,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
6770,SEMI_FOUNDRY,0.75,primary mapping to SEMI_FOUNDRY (晶圓代工),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
6770,SEMI,0.75,inherited from SEMI_FOUNDRY,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
2330,SEMI_COWOS,0.7,primary mapping to SEMI_COWOS (CoWoS),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3711,SEMI_COWOS,0.7,primary mapping to SEMI_COWOS (CoWoS),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3711,SEMI_FOUNDRY,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3711,SEMI,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3037,SEMI_COWOS,0.7,primary mapping to SEMI_COWOS (CoWoS),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3037,SEMI_FOUNDRY,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3037,SEMI,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3653,SEMI_COWOS,0.7,primary mapping to SEMI_COWOS (CoWoS),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3653,SEMI_FOUNDRY,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3653,SEMI,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3189,SEMI_COWOS,0.7,primary mapping to SEMI_COWOS (CoWoS),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3189,SEMI_FOUNDRY,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3189,SEMI,0.7,inherited from SEMI_COWOS,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
2454,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
2454,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3034,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3034,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
2379,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
2379,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
6415,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
6415,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
4961,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
4961,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
3529,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),False
3529,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-1 research mapping; company primary business lines (TWSE/TPEx listed common stocks),True
